studentid,firstname,lastname,GPA,Major
10000,Orelia,Westphal,2.375,Sports
10001,Consuela,Fancie,3,Psychology
10002,Hollie,Even,3,Health
10003,Annaliese,Vanni,2.625,Art
10004,Angelique,Crudden,3.5,Statistics
10005,Marguerite,Melan,2.625,Engineering
10006,Kathy,Sperling,3.375,IT
10007,Dorothy,Lewes,2.875,Robotics
10008,Dale,Barbey,3.375,Graphic Design
10009,Nananne,Leonard,3.125,Sports
10010,Jillayne,Erb,3,Health
10011,Rhea,Hessler,2.75,Graphic Design
10012,Jinny,Hermes,2.625,Health
10013,Estell,Eugenia,1.875,Robotics
10014,Gilligan,Mullane,3,Sports
10015,Clary,Fabiola,2.5,Architecture
10016,Roberta,Eno,2.875,Health
10017,Melanie,Deny,2.875,Graphic Design
10018,Bernardine,Fennessy,2.125,Computer science
10019,Dorthy,Dearborn,2.5,Business/Commerce
10020,Dulcinea,Douglass,2.875,Statistics
10021,Arlena,Merat,2.375,History
10022,Gaylene,Knowling,2.875,Robotics
10023,Yvonne,Smitt,2.625,Computer science
10024,Mariann,Bashemeth,2.75,History
10025,Tabbatha,Krystle,2.875,Art
10026,Karly,Yate,2.75,History
10027,Chastity,Sawtelle,2.375,Business/Commerce
10028,Charlena,Tayib,3,Robotics
10029,Angelique,Leary,2.375,Business/Commerce
10030,Alie,Cath,2.375,Psychology
10031,Ulrike,Drus,2.25,History
10032,Genovera,Septima,2.75,Music
10033,Brena,Wattenberg,2.75,Psychology
10034,Quintina,Hazlett,2.875,Robotics
10035,Andree,Cornelia,3,Science
10036,Dianemarie,Elisha,2.75,Music
10037,Cacilie,Sancho,1.875,English
10038,Sheelagh,Bohlin,2.75,English
10039,Tina,Phi,2.875,Art
10040,Jacenta,Odysseus,2.25,English
10041,Lusa,Mata,2.75,Sports
10042,Kamilah,Kellby,2.375,Architecture
10043,Belva,Irmine,2.625,Business/Commerce
10044,Fina,Irmine,2.5,Engineering
10045,Kial,Zachary,3.25,Architecture
10046,Konstance,Dahlia,3,Graphic Design
10047,Shirlee,Vilma,3,Architecture
10048,Desirae,Anton,2.5,Health
10049,Celisse,Denis,2.75,Psychology
10050,Alameda,Niles,2.875,Business/Commerce
10051,Inga,Bonilla,2.375,Robotics
10052,Daphne,Bari,2.875,Graphic Design
10053,Alameda,Joli,1.875,History
10054,Sam,Alarise,2.875,Engineering
